HS Code,Item (Arabic),Duty Rate (%)
0101210000,"خيول حية، أصيلة للأنسال",5
0101290000,خيول حية (غ.م),5
0101300000,حمير حية,5
0101900000,بغال و حمير (نغل) حية (غ.م),5
0102210000,أبقار حية (أصيلة للأنسال),0
0102290000,أبقار حية (عدا الأصيلة للأنسال),0
0102310000,جاموس حي أصيلة للأنسال,0
0102390000,جاموس حي (غ.م),0
0102900000,حيوانات جاموس وأبقار (غ.م),0
0103100000,خنازير حية من فصيلة الخنازير أصيلة للأنسال,5
0103910000,حيوانات حية من فصيلة الخنازير (عدا الأصيلة للأنسال) بوزن < 50 كغ,5
0103920000,حيوانات حية من فصيلة الخنازير (عدا الأصيلة للأنسال) بوزن ≥ 50 كغ,5
0104100000,حيوانات حية من فصيلة الضأن,0
0104200000,حيوانات حية من فصيلة الماعز,0
0105000000,"دواجن من فصيلة جالوس دومستيكوس (بط، أوز، ديك رومي، دجاج)",0
0105110000,دواجن حية وأليفة بوزن ≤ 185غ,5
0105120000,دواجن حية وأليفة بوزن > 185غ,5
0105130000,بط حي وأليف بوزن > 185غ,5
0105140000,أوز حي وأليف بوزن > 185غ,5
0105150000,دجاج غينيا (غ.م) حي وأليف بوزن > 185غ,5
0105940000,دواجن حية وأليفة من فصيلة جالوس دومستيكوس بوزن > 185غ,5
0105990000,بط وأوز وديك رومي ودجاج حي وأليف بوزن > 185غ,5
0106110000,حيوانات حية رئيسية من ثدييات,5
0106120000,حيتان ودلافين وخنازير بحر وفقمات وحيوانات بحرية أخرى,5
0106130000,جمال وحمير وحيوانات أخرى من فصيلة الجمال,5
0106140000,أرانب برية وأرانب أليفة,5
0106190000,حيوانات حية أخرى من ثدييات (غ.م),5
0106200000,زواحف حية (بما فيها الثعابين والسلاحف),5
0106310010,صقور,5
0106310090,طيور جارحة حية,5
0106320000,ببغاوات حية,5
0106330000,"نعام، إيمو (دروميوس نوفايهولاندياي)",5
0106390000,طيور حية أخرى (غ.م),5
0106410000,نحل,5
0106490000,حشرات (غ.م),5
0106900000,حيوانات حية أخرى (غ.م),5
02011000000,"ذبائح كاملة وأنصاف ذبائح, من لحوم فصيلة الأبقار طازجة أو مبردة",0
02012000000,قطع آخر بعظمها من لحوم فصيلة الأبقار طازجة أو مبردة,0
